index,label,finger,joint,axis,joint_index,axis_index,floor,ceil
0,wrist_ball_z,wrist,ball,z,0,0,-360,360
1,wrist_ball_y,wrist,ball,y,0,1,-360,360
2,wrist_ball_x,wrist,ball,x,0,2,-360,360
3,index_mcp_z,index,mcp,z,1,0,0,0
4,index_mcp_y,index,mcp,y,1,1,-15,15
5,index_mcp_x,index,mcp,x,1,2,-45,90
6,index_pip_z,index,pip,z,2,0,0,0
7,index_pip_y,index,pip,y,2,1,0,0
8,index_pip_x,index,pip,x,2,2,0,100
9,index_dip_z,index,dip,z,3,0,0,0
10,index_dip_y,index,dip,y,3,1,0,0
11,index_dip_x,index,dip,x,3,2,0,80
12,middle_mcp_z,middle,mcp,z,4,0,0,0
13,middle_mcp_y,middle,mcp,y,4,1,-15,15
14,middle_mcp_x,middle,mcp,x,4,2,-45,90
15,middle_pip_z,middle,pip,z,5,0,0,0
16,middle_pip_y,middle,pip,y,5,1,0,0
17,middle_pip_x,middle,pip,x,5,2,0,100
18,middle_dip_z,middle,dip,z,6,0,0,0
19,middle_dip_y,middle,dip,y,6,1,0,0
20,middle_dip_x,middle,dip,x,6,2,0,80
21,little_mcp_z,little,mcp,z,7,0,0,0
22,little_mcp_y,little,mcp,y,7,1,-15,15
23,little_mcp_x,little,mcp,x,7,2,-45,90
24,little_pip_z,little,pip,z,8,0,0,0
25,little_pip_y,little,pip,y,8,1,0,0
26,little_pip_x,little,pip,x,8,2,0,100
27,little_dip_z,little,dip,z,9,0,0,0
28,little_dip_y,little,dip,y,9,1,0,0
29,little_dip_x,little,dip,x,9,2,0,80
30,ring_mcp_z,ring,mcp,z,10,0,0,0
31,ring_mcp_y,ring,mcp,y,10,1,-15,15
32,ring_mcp_x,ring,mcp,x,10,2,-45,90
33,ring_pip_z,ring,pip,z,11,0,0,0
34,ring_pip_y,ring,pip,y,11,1,0,0
35,ring_pip_x,ring,pip,x,11,2,0,100
36,ring_dip_z,ring,dip,z,12,0,0,0
37,ring_dip_y,ring,dip,y,12,1,0,0
38,ring_dip_x,ring,dip,x,12,2,0,80
39,thumb_0_z,thumb,0,z,13,0,0,15
40,thumb_0_y,thumb,0,y,13,1,0,80
41,thumb_0_x,thumb,0,x,13,2,0,70
42,thumb_1_z,thumb,1,z,14,0,0,30
43,thumb_1_y,thumb,1,y,14,1,0,70
44,thumb_1_x,thumb,1,x,14,2,0,90
45,thumb_2_z,thumb,2,z,15,0,0,0
46,thumb_2_y,thumb,2,y,15,1,0,0
47,thumb_2_x,thumb,2,x,15,2,0,100
